Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,127.32,127.32,127.32,127.32,127.32,0
2010-01-19,127.1,127.1,127.1,127.1,127.1,0
2010-01-20,127.18,127.18,127.18,127.18,127.18,10002
2010-01-21,127.38,127.38,127.38,127.38,127.38,10002
2010-01-22,128.0,128.0,128.0,128.0,128.0,200
2010-01-25,127.74,127.74,127.74,127.74,127.74,150
2010-01-26,127.74,127.74,127.74,127.74,127.74,150
2010-01-27,127.89,127.89,127.89,127.89,127.89,250
2010-01-28,127.89,127.89,127.89,127.89,127.89,250
2010-01-29,127.89,127.89,127.89,127.89,127.89,250
2010-02-01,127.89,127.89,127.89,127.89,127.89,250
2010-02-02,127.89,127.89,127.89,127.89,127.89,250
2010-02-03,127.89,127.89,127.89,127.89,127.89,250
2010-02-04,127.89,127.89,127.89,127.89,127.89,250
2010-02-05,127.89,127.89,127.89,127.89,127.89,250
2010-02-08,127.89,127.89,127.89,127.89,127.89,250
2010-02-09,127.89,127.89,127.89,127.89,127.89,250
2010-02-10,127.89,127.89,127.89,127.89,127.89,250
2010-02-11,128.2,128.2,128.2,128.2,128.2,80
2010-02-12,128.2,128.2,128.2,128.2,128.2,80
2010-02-15,128.2,128.2,128.2,128.2,128.2,80
2010-02-16,128.2,128.2,128.2,128.2,128.2,80
2010-02-17,128.37,128.37,128.37,128.37,128.37,40
2010-02-18,128.37,128.37,128.37,128.37,128.37,40
2010-02-19,128.37,128.37,128.37,128.37,128.37,40
2010-02-22,128.06,128.06,128.06,128.06,128.06,0
2010-02-23,128.71,128.71,128.71,128.71,128.71,0
2010-02-24,128.72,128.72,128.72,128.72,128.72,150
2010-02-25,129.01,129.01,129.01,129.01,129.01,0
2010-02-26,128.99,128.99,128.99,128.99,128.99,0
2010-03-01,129.12,129.12,129.12,129.12,129.12,0
2010-03-02,129.14,129.14,129.14,129.14,129.14,75
2010-03-03,128.99,128.99,128.99,128.99,128.99,0
2010-03-04,128.97,128.97,128.97,128.97,128.97,100
2010-03-05,128.91,128.91,128.91,128.91,128.91,0
2010-03-08,128.88,128.88,128.88,128.88,128.88,0
2010-03-09,129.06,129.06,129.06,129.06,129.06,0
2010-03-10,129.03,129.03,129.03,129.03,129.03,0
2010-03-11,128.82,128.82,128.82,128.82,128.82,0
2010-03-12,128.88,128.88,128.88,128.88,128.88,0
2010-03-15,128.91,129.02,128.91,128.91,128.91,0
2010-03-16,129.05,129.16,129.05,129.05,129.05,0
2010-03-17,129.32,129.43,129.32,129.32,129.32,0
2010-03-18,129.2,129.31,129.2,129.2,129.2,0
2010-03-19,129.23,129.34,129.23,129.23,129.23,0
2010-03-22,129.4,129.51,129.4,129.4,129.4,0
2010-03-23,129.53,129.64,129.53,129.53,129.53,0
2010-03-24,129.43,129.54,129.43,129.43,129.43,0
2010-03-25,129.3,129.3,129.3,129.3,129.3,200
2010-03-26,129.08,129.08,129.08,129.08,129.08,11
2010-03-29,129.33,129.33,129.33,129.33,129.33,0
2010-03-30,129.44,129.44,129.44,129.44,129.44,0
2010-03-31,129.56,129.56,129.56,129.56,129.56,0
2010-04-01,129.62,129.62,129.62,129.62,129.62,100
2010-04-06,129.22,129.22,129.22,129.22,129.22,0
2010-04-07,129.48,129.48,129.48,129.48,129.48,20
2010-04-08,129.65,129.65,129.65,129.65,129.65,0
2010-04-09,129.32,129.32,129.32,129.32,129.32,0
2010-04-12,129.3,129.3,129.3,129.3,129.3,39
2010-04-13,129.43,129.43,129.43,129.43,129.43,39
2010-04-14,129.53,129.53,129.53,129.53,129.53,0
2010-04-15,129.6,129.6,129.6,129.6,129.6,0
2010-04-16,129.93,129.93,129.93,129.93,129.93,0
2010-04-19,129.87,129.87,129.87,129.87,129.87,11
2010-04-20,129.81,129.81,129.81,129.81,129.81,0
2010-04-21,129.93,129.93,129.93,129.93,129.93,0
2010-04-22,129.88,129.88,129.88,129.88,129.88,0
2010-04-23,129.94,129.94,129.94,129.94,129.94,39
2010-04-26,129.84,129.84,129.84,129.84,129.84,0
2010-04-27,129.96,129.96,129.96,129.96,129.96,0
2010-04-28,129.94,129.94,129.94,129.94,129.94,770
2010-04-29,129.93,129.93,129.93,129.93,129.93,80
2010-04-30,130.38,130.38,130.38,130.38,130.38,0
2010-05-03,130.26,130.26,130.26,130.26,130.26,0
2010-05-04,130.73,130.73,130.73,130.73,130.73,0
2010-05-05,130.9,130.9,130.9,130.9,130.9,38
2010-05-06,131.02,131.02,131.02,131.02,131.02,0
2010-05-07,131.38,131.38,131.38,131.38,131.38,0
2010-05-10,131.3,131.3,131.3,131.3,131.3,153
2010-05-11,130.19,130.19,130.19,130.19,130.19,0
2010-05-12,130.36,130.36,130.36,130.36,130.36,0
2010-05-13,130.57,130.57,130.57,130.57,130.57,0
2010-05-14,130.81,130.81,130.81,130.81,130.81,0
