Date,Open,High,Low,Close,Adj Close,Volume
2013-11-06,136.76,136.76,136.76,136.63,136.63,20
2013-11-08,137.01,137.01,137.01,136.92,136.92,73
2013-11-20,136.84,136.84,136.84,137.02,137.02,11
2013-11-21,136.93,136.93,136.93,137.07,137.07,446
2013-11-25,137.05,137.05,137.05,137.16,137.16,191
2013-11-26,137.14,137.14,137.14,137.25,137.25,21
2013-11-27,137.25,137.25,137.25,137.21,137.21,50
2013-12-11,137.14,137.14,137.14,137.19,137.19,18
2013-12-18,136.97,136.97,136.97,137.08,137.08,7
2013-12-19,137.2,137.2,137.2,137.09,137.09,5
2013-12-27,136.78,136.97,136.78,136.88,136.88,258
2013-12-30,137.08,137.08,137.08,137.1,137.1,49
2014-01-09,137.67,137.67,137.67,137.76,137.76,176
2014-01-14,137.85,137.85,137.65,137.76,137.76,389
2014-01-15,137.69,137.69,137.69,137.78,137.78,36
2014-01-16,137.67,137.67,137.67,137.77,137.77,9
2014-01-20,137.72,137.72,137.72,137.81,137.81,77
2014-01-22,137.91,137.91,137.71,137.79,137.79,382
2014-01-23,137.64,137.64,137.64,137.73,137.73,186
2014-01-30,137.65,137.85,137.65,137.8,137.8,27
2014-02-04,137.92,137.92,137.92,138.04,138.04,183
2014-02-10,138.02,138.02,138.02,138.11,138.11,75
2014-02-11,138.2,138.2,138.0,138.08,138.08,811
2014-02-20,138.36,138.36,138.36,138.21,138.21,85
2014-02-21,138.17,138.17,138.17,138.29,138.29,15
2014-02-28,138.5,138.5,138.5,138.37,138.37,181
2014-03-07,138.71,138.71,138.5,138.62,138.62,77
2014-03-12,138.55,138.55,138.55,138.63,138.63,191
2014-03-13,138.55,138.55,138.55,138.64,138.64,216
2014-03-14,138.55,138.55,138.55,138.63,138.63,51
2014-03-17,138.77,138.77,138.57,138.68,138.68,902
2014-03-18,138.6,138.6,138.59,138.7,138.7,39
2014-03-20,138.65,138.65,138.65,138.64,138.64,15
2014-03-21,138.72,138.72,138.72,138.63,138.63,22
2014-03-25,138.55,138.55,138.55,138.66,138.66,746
2014-03-27,138.71,138.88,138.71,138.82,138.82,77
2014-03-28,139.0,139.0,138.87,138.81,138.81,725
2014-03-31,138.93,138.93,138.73,138.83,138.83,978
2014-04-01,138.92,138.93,138.92,138.83,138.83,1781
2014-04-02,138.9,138.9,138.9,138.83,138.83,1003
2014-04-04,139.15,139.15,139.15,139.1,139.1,1003
2014-04-07,139.2,139.2,139.03,139.12,139.12,2299
2014-04-08,139.19,139.19,139.19,139.07,139.07,1177
2014-04-09,139.13,139.13,139.13,139.05,139.05,643
2014-04-10,139.16,139.16,139.16,139.07,139.07,810
2014-04-11,139.07,139.07,138.89,138.96,138.96,1078
2014-04-14,139.07,139.07,139.07,139.01,139.01,693
2014-04-15,139.12,139.12,139.11,139.04,139.04,3089
2014-04-16,139.13,139.14,139.13,139.07,139.07,1585
2014-04-17,139.09,139.09,138.94,139.0,139.0,1207
2014-04-22,138.98,139.12,138.98,139.06,139.06,753
2014-04-23,139.15,139.15,139.15,139.04,139.04,651
2014-04-24,139.08,139.08,139.08,138.98,138.98,71
2014-04-25,139.03,139.03,139.03,138.96,138.96,779
2014-04-28,138.87,138.87,138.87,138.93,138.93,20
2014-04-29,138.94,138.94,138.94,138.93,138.93,1321
2014-04-30,139.0,139.01,139.0,138.97,138.97,1525
2014-05-02,139.07,139.07,139.07,139.03,139.03,1248
2014-05-05,139.15,139.15,139.15,139.08,139.08,987
2014-05-06,139.17,139.17,139.17,139.12,139.12,2588
2014-05-07,139.17,139.17,139.17,139.06,139.06,1610
2014-05-08,139.1,139.1,139.1,139.15,139.15,1686
2014-05-09,139.19,139.19,139.19,139.09,139.09,3864
2014-05-12,139.12,139.12,139.11,139.08,139.08,1509
2014-05-13,139.14,139.14,139.14,139.19,139.19,1301
2014-05-14,139.18,139.18,139.05,139.3,139.3,96
2014-05-15,139.21,139.21,138.97,138.94,138.94,1240
2014-05-16,139.11,139.11,139.11,139.02,139.02,798
2014-05-19,139.02,139.02,138.98,138.91,138.91,1138
2014-05-20,138.88,138.89,138.84,138.77,138.77,2059
2014-05-21,138.88,138.88,138.88,138.86,138.86,532
2014-05-22,139.01,139.01,138.73,138.82,138.82,878
2014-05-23,138.97,138.97,138.97,138.95,138.95,504
2014-05-26,139.07,139.07,139.07,139.15,139.15,881
2014-05-27,139.24,139.24,139.24,139.16,139.16,612
2014-05-28,139.13,139.28,139.13,139.23,139.23,348
2014-05-29,139.12,139.25,139.12,139.2,139.2,619
2014-05-30,139.24,139.24,139.12,139.11,139.11,478
2014-06-02,139.31,139.31,139.31,139.25,139.25,478
2014-06-03,139.18,139.45,139.18,139.35,139.35,1105
2014-06-04,139.31,139.31,139.29,139.23,139.23,1372
2014-06-05,139.37,139.37,139.37,139.47,139.47,1009
2014-06-06,139.71,139.85,139.71,139.73,139.73,874
2014-06-09,139.63,139.76,139.63,139.68,139.68,558
2014-06-10,137.78,137.78,137.78,139.54,139.54,28
2014-06-11,139.56,139.56,139.56,139.56,139.56,1723
2014-06-12,139.55,139.69,139.54,139.57,139.57,4344
2014-06-13,139.67,139.74,139.58,139.67,139.67,1219
2014-06-16,139.75,139.75,139.75,139.63,139.63,666
2014-06-17,139.6,139.6,139.6,139.52,139.52,1109
2014-06-18,139.58,139.58,139.4,139.45,139.45,2205
2014-06-19,139.58,139.58,139.58,139.52,139.52,1014
2014-06-20,139.57,139.57,139.57,139.49,139.49,1047
2014-06-23,139.61,139.61,139.61,139.6,139.6,909
2014-06-24,139.71,139.71,139.59,139.69,139.69,968
2014-06-25,139.69,139.69,139.69,139.68,139.68,1592
2014-06-26,139.75,139.75,139.75,139.71,139.71,1176
2014-06-27,139.74,139.74,139.74,139.72,139.72,911
2014-06-30,139.77,139.82,139.77,139.82,139.82,109
2014-07-01,139.85,139.86,139.85,139.77,139.77,1954
2014-07-03,139.84,139.84,139.84,139.84,139.84,1194
2014-07-04,139.84,139.97,139.84,139.92,139.92,2487
2014-07-07,140.01,140.01,139.87,139.95,139.95,1748
2014-07-08,140.03,140.03,140.01,139.96,139.96,1280
2014-07-09,139.94,139.94,139.94,139.89,139.89,1246
2014-07-10,139.9,139.9,139.77,139.82,139.82,1685
2014-07-11,139.89,139.92,139.89,139.85,139.85,1561
2014-07-14,139.93,139.93,139.93,139.86,139.86,906
2014-07-15,139.95,139.95,139.95,139.89,139.89,1241
2014-07-16,140.0,140.0,140.0,139.93,139.93,1484
2014-07-17,140.03,140.03,140.03,140.0,140.0,2157
2014-07-18,140.06,140.06,140.06,140.02,140.02,2005
2014-07-21,140.18,140.18,140.16,140.07,140.07,1842
2014-07-22,140.14,140.14,140.14,140.04,140.04,1839
2014-07-23,140.12,140.12,140.12,140.04,140.04,1469
2014-07-24,140.07,140.07,140.07,140.2,140.2,398
2014-07-25,140.18,140.18,140.18,140.12,140.12,3618
2014-07-28,140.22,140.22,140.09,140.15,140.15,2098
2014-07-29,140.14,140.28,140.14,140.2,140.2,3476
2014-07-30,140.25,140.25,140.11,140.12,140.12,2117
2014-07-31,140.1,140.17,140.1,140.13,140.13,1951
2014-08-04,140.21,140.25,140.21,140.22,140.22,2517
2014-08-05,140.26,140.26,140.2,140.19,140.19,4007
2014-08-06,140.2,140.2,140.14,140.09,140.09,2585
2014-08-07,140.15,140.23,140.15,140.12,140.12,2456
2014-08-08,140.12,140.22,140.07,140.25,140.25,1646
2014-08-11,140.29,140.29,140.29,140.42,140.42,1901
2014-08-12,140.37,140.42,140.25,140.42,140.42,1289
2014-08-13,140.27,140.27,140.27,140.33,140.33,114
2014-08-14,140.45,140.45,140.32,140.41,140.41,79
2014-08-18,140.46,140.47,140.46,140.38,140.38,2728
2014-08-19,140.46,140.47,140.46,140.43,140.43,1784
2014-08-20,140.49,140.51,140.49,140.47,140.47,1346
2014-08-21,140.51,140.51,140.51,140.64,140.64,1749
2014-08-22,140.58,140.58,140.57,140.59,140.59,175
2014-08-25,140.6,140.77,140.6,140.68,140.68,1426
2014-08-26,140.6,140.72,140.6,140.63,140.63,816
