Date,Open,High,Low,Close,Adj Close,Volume
2007-11-06,145.09,145.09,145.09,145.09,145.09,0
2007-11-07,145.38,145.45,145.38,145.38,145.38,10
2007-11-08,145.59,145.66,145.59,145.59,145.59,0
2007-11-09,145.67,145.67,145.67,145.67,145.67,2300
2007-11-12,145.92,145.92,145.92,145.92,145.92,0
2007-11-13,145.66,145.73,145.66,145.66,145.66,0
2007-11-14,145.51,145.58,145.51,145.51,145.51,0
2007-11-15,145.72,145.72,145.72,145.72,145.72,6
2007-11-16,145.92,145.92,145.92,145.92,145.92,0
2007-11-19,146.22,146.29,146.22,146.22,146.22,120
2007-11-20,146.36,146.36,146.36,146.36,146.36,15500
2007-11-21,146.52,146.52,146.52,146.52,146.52,28
2007-11-22,146.52,146.52,146.52,146.52,146.52,0
2007-11-23,146.52,146.52,146.52,146.52,146.52,0
2007-11-26,146.52,146.52,146.52,146.52,146.52,0
2007-11-27,146.52,146.52,146.52,146.52,146.52,0
2007-11-28,145.94,146.17,145.94,145.94,145.94,26
2007-11-29,145.94,145.94,145.94,145.94,145.94,0
2007-11-30,145.94,145.94,145.94,145.94,145.94,0
2007-12-03,145.76,145.76,145.76,145.76,145.76,600
2007-12-04,146.24,146.24,146.23,146.23,146.23,432
2007-12-05,146.56,146.56,146.56,146.56,146.56,5000
2007-12-06,146.06,146.13,146.06,146.06,146.06,0
2007-12-07,145.24,145.31,145.24,145.24,145.24,0
2007-12-10,145.04,145.04,145.04,145.04,145.04,100
2007-12-11,145.07,145.12,144.93,145.12,145.12,21701
2007-12-12,144.95,144.95,144.95,144.95,144.95,15500
2007-12-13,144.83,144.83,144.83,144.83,144.83,13000
2007-12-14,144.86,144.86,144.78,144.78,144.78,11
2007-12-17,144.91,144.91,144.91,144.91,144.91,5
2007-12-18,144.94,145.01,144.94,144.94,144.94,0
2007-12-19,145.07,145.14,145.07,145.07,145.07,0
2007-12-20,145.41,145.48,145.41,145.41,145.41,0
2007-12-21,144.85,144.92,144.85,144.85,144.85,0
2007-12-27,144.66,144.73,144.66,144.66,144.66,0
2007-12-28,145.04,145.13,145.04,145.04,145.04,0
2008-01-02,145.02,145.02,144.96,144.96,144.96,10
2008-01-03,146.23,146.3,146.23,146.23,146.23,0
2008-01-04,146.64,146.71,146.64,146.64,146.64,0
2008-01-07,146.59,146.66,146.59,146.59,146.59,0
2008-01-08,146.22,146.29,146.22,146.22,146.22,0
2008-01-09,146.83,146.9,146.83,146.83,146.83,0
2008-01-10,146.68,146.75,146.68,146.68,146.68,0
2008-01-11,146.68,146.75,146.68,146.68,146.68,0
2008-01-14,147.05,147.05,147.05,147.05,147.05,10
2008-01-15,147.35,147.42,147.35,147.35,147.35,0
2008-01-16,147.77,147.84,147.77,147.77,147.77,0
2008-01-17,147.82,147.89,147.82,147.82,147.82,0
2008-01-18,148.04,148.11,148.04,148.04,148.04,0
2008-01-21,148.4,148.4,148.4,148.4,148.4,602
2008-01-22,147.84,147.91,147.84,147.84,147.84,0
2008-01-23,149.0,149.0,149.0,149.0,149.0,35
2008-01-24,147.82,147.82,147.82,147.82,147.82,150
2008-01-25,147.58,147.58,147.58,147.58,147.58,50
2008-01-28,148.12,148.2,148.0,148.01,148.01,235
2008-01-29,148.0,148.0,147.85,147.93,147.93,399
2008-01-30,147.5,147.5,147.5,147.5,147.5,25
2008-01-31,148.04,148.04,148.04,148.04,148.04,132
2008-02-01,148.41,148.41,148.2,148.2,148.2,559
2008-02-04,148.59,148.59,148.58,148.59,148.59,456
2008-02-05,148.8,148.8,148.8,148.8,148.8,265
2008-02-06,149.35,149.35,149.21,149.24,149.24,854
2008-02-07,149.19,149.3,149.18,149.3,149.3,387
2008-02-08,149.29,149.35,149.29,149.29,149.29,482
2008-02-11,149.35,149.48,149.33,149.41,149.41,762
2008-02-12,149.43,149.43,149.41,149.41,149.41,337
2008-02-13,148.94,148.94,148.71,148.71,148.71,977
2008-02-14,148.43,148.6,148.43,148.54,148.54,2463
2008-02-15,148.55,148.85,148.49,148.85,148.85,775
2008-02-18,148.46,148.57,148.46,148.56,148.56,578
2008-02-19,148.67,148.67,148.64,148.64,148.64,387
2008-02-20,148.31,148.85,148.27,148.33,148.33,4362
2008-02-21,147.78,147.93,147.78,147.93,147.93,159
2008-02-22,148.32,148.34,148.26,148.29,148.29,1824
2008-02-25,147.86,148.05,147.86,148.05,148.05,364
2008-02-26,147.47,147.56,147.47,147.5,147.5,883
2008-02-27,147.7,147.73,147.6,147.6,147.6,278
2008-02-28,147.77,147.82,147.77,147.82,147.82,534
2008-02-29,148.95,149.0,148.95,149.0,149.0,292
2008-03-03,149.45,149.75,149.35,149.35,149.35,3924
2008-03-04,149.4,149.48,149.38,149.38,149.38,455
2008-03-05,149.0,149.05,148.97,148.98,148.98,6973
2008-03-06,148.64,148.73,148.64,148.73,148.73,112
2008-03-07,149.19,149.19,148.8,149.03,149.03,4490
2008-03-10,149.02,149.08,149.02,149.02,149.02,1560
2008-03-11,149.0,149.13,148.71,148.71,148.71,597
2008-03-12,148.72,149.04,148.72,149.03,149.03,5721
2008-03-13,149.47,149.5,149.36,149.36,149.36,1935
2008-03-14,149.16,149.16,148.88,149.03,149.03,578
2008-03-17,149.93,149.93,149.57,149.61,149.61,1447
2008-03-18,149.23,149.29,148.96,149.1,149.1,2269
2008-03-19,149.06,149.06,148.8,148.8,148.8,212
2008-03-20,149.17,149.36,149.17,149.23,149.23,1442
2008-03-25,148.39,148.39,148.16,148.31,148.31,4389
2008-03-26,148.01,148.29,148.01,148.16,148.16,273
2008-03-27,147.95,147.95,147.95,147.95,147.95,27
2008-03-28,148.14,148.14,148.03,148.03,148.03,135
2008-03-31,148.03,148.03,148.03,148.03,148.03,6
2008-04-01,148.02,148.18,147.97,148.18,148.18,2153
2008-04-02,147.86,148.09,147.86,148.08,148.08,645
2008-04-03,148.0,148.24,148.0,148.24,148.24,351
2008-04-04,147.91,148.02,147.87,147.93,147.93,756
2008-04-07,147.84,148.05,147.84,147.86,147.86,803
2008-04-08,148.01,148.13,148.01,148.13,148.13,401
2008-04-09,147.9,147.9,147.73,147.86,147.86,579
2008-04-10,148.27,148.54,148.27,148.54,148.54,1163
2008-04-11,147.88,148.59,147.88,148.59,148.59,455
2008-04-14,148.0,148.87,148.0,148.87,148.87,170
2008-04-15,148.8,148.8,148.33,148.33,148.33,1497
2008-04-16,147.91,148.13,147.87,147.97,147.97,378
2008-04-17,147.04,147.23,147.04,147.22,147.22,1605
2008-04-18,146.94,146.94,146.82,146.88,146.88,204
2008-04-21,146.96,147.0,146.96,147.0,147.0,327
2008-04-22,146.52,146.66,146.52,146.66,146.66,376
2008-04-23,146.9,146.9,146.9,146.9,146.9,96
2008-04-24,147.2,147.2,147.19,147.2,147.2,528
2008-04-25,146.57,146.7,146.57,146.57,146.57,0
2008-04-28,146.33,146.52,146.33,146.47,146.47,267
2008-04-29,146.66,146.85,146.66,146.85,146.85,215
2008-04-30,147.17,147.29,147.17,147.29,147.29,712
2008-05-02,147.5,147.6,146.85,146.85,146.85,16977
2008-05-05,147.23,147.23,147.23,147.23,147.23,151
2008-05-06,147.32,147.4,147.32,147.4,147.4,20237
2008-05-07,147.03,147.03,147.03,147.03,147.03,247
2008-05-08,147.75,147.75,147.75,147.75,147.75,13
2008-05-09,148.42,148.48,148.42,148.48,148.48,851
