Date,Open,High,Low,Close,Adj Close,Volume
2010-06-03,90.3,90.3,90.3,90.3,90.3,0
2010-06-04,89.57,89.57,89.57,89.57,89.57,0
2010-06-07,88.64,88.64,88.64,88.64,88.64,0
2010-06-08,87.77,87.77,87.77,87.77,87.77,0
2010-06-09,89.05,89.05,89.05,89.05,89.05,0
2010-06-10,89.74,89.74,89.74,89.74,89.74,0
2010-06-11,90.09,90.09,90.09,90.09,90.09,0
2010-06-14,90.41,90.41,90.41,90.41,90.41,0
2010-06-15,90.61,90.61,90.61,90.61,90.61,0
2010-06-16,91.17,91.17,91.17,91.17,91.17,0
2010-06-17,90.78,90.78,90.78,90.78,90.78,0
2010-06-18,91.45,91.45,91.45,91.45,91.45,0
2010-06-21,92.09,92.09,92.09,92.09,92.09,0
2010-06-22,91.76,91.76,91.76,91.76,91.76,0
2010-06-23,90.52,90.52,90.52,90.52,90.52,0
2010-06-24,88.86,88.86,88.86,88.86,88.86,0
2010-06-25,88.37,88.37,88.37,88.37,88.37,0
2010-06-28,89.01,89.01,89.01,89.01,89.01,0
2010-06-29,87.33,87.33,87.33,87.33,87.33,0
2010-06-30,86.42,86.42,86.42,86.42,86.42,0
2010-07-01,83.34,83.34,83.34,83.34,83.34,0
2010-07-02,83.43,83.43,83.43,83.43,83.43,0
2010-07-05,83.34,83.34,83.34,83.34,83.34,0
2010-07-06,84.67,84.67,84.67,84.67,84.67,0
2010-07-07,85.33,85.33,85.33,85.33,85.33,0
2010-07-08,86.36,86.36,86.36,86.36,86.36,0
2010-07-09,87.14,87.14,87.14,87.14,87.14,0
2010-07-12,87.56,87.56,87.56,87.56,87.56,0
2010-07-13,88.54,88.54,88.54,88.54,88.54,0
2010-07-14,88.44,88.44,88.44,88.44,88.44,0
2010-07-15,86.65,86.65,86.65,86.65,86.65,0
2010-07-16,85.6,85.6,85.6,85.6,85.6,0
2010-07-19,84.72,84.72,84.72,84.72,84.72,0
2010-07-20,85.13,85.13,85.13,85.13,85.13,0
2010-07-21,86.41,86.41,86.41,86.41,86.41,0
2010-07-22,87.32,87.32,87.32,87.32,87.32,0
2010-07-23,87.06,87.06,87.06,87.06,87.06,0
2010-07-26,87.24,87.24,87.24,87.24,87.24,0
