Date,Open,High,Low,Close,Adj Close,Volume
2010-09-22,168.71,168.71,168.71,168.71,168.71,44
2010-09-30,169.01,169.01,169.01,169.01,169.01,30
2010-10-14,169.94,169.94,169.94,169.94,169.94,44
2010-10-18,169.93,169.93,169.93,169.93,169.93,28
2010-10-29,168.04,168.04,168.04,168.04,168.04,30
2010-11-11,167.47,167.47,167.47,167.47,167.47,2500
2010-12-10,165.47,165.47,165.47,165.47,165.47,935
2011-03-08,163.42,163.42,163.42,163.42,163.42,1
2011-08-04,164.78,164.78,164.78,164.85,164.85,1
2011-10-26,167.39,167.39,167.39,167.21,167.21,14
2011-11-28,161.67,161.67,161.67,162.12,162.12,1000
2012-01-05,168.01,168.01,168.01,168.04,168.04,14
2012-02-17,172.39,172.39,172.39,171.84,171.84,144
2012-02-22,172.93,172.93,172.93,172.75,172.75,30
2012-03-20,173.64,173.64,173.64,173.57,173.57,30
2012-04-03,173.72,173.72,173.72,173.65,173.65,5600
2012-05-02,173.63,173.63,173.63,173.74,173.74,3441
2012-05-30,172.83,172.84,172.83,173.01,173.01,37000
2012-10-03,178.94,178.94,178.94,178.85,178.85,140
2012-10-16,179.27,179.27,179.27,179.22,179.22,140
2012-11-13,179.91,179.91,179.91,180.02,180.02,55
2012-11-21,180.01,180.01,180.01,180.0,180.0,50
2012-12-17,181.4,181.4,181.4,181.35,181.35,55
2012-12-20,181.89,181.89,181.89,181.84,181.84,7150
2012-12-27,181.77,181.88,181.77,181.85,181.85,5005
2013-01-02,184.0,184.0,181.91,181.95,181.95,300
2013-01-08,181.42,181.42,181.42,181.57,181.57,22228
2013-01-10,181.92,181.92,181.92,181.94,181.94,55
2013-01-14,181.98,181.98,181.98,181.77,181.77,19
2013-01-22,181.51,181.51,181.51,181.49,181.49,50
2013-01-28,181.19,181.19,181.19,180.66,180.66,2
2013-01-29,180.66,180.66,180.66,180.8,180.8,150
2013-01-30,180.59,180.71,180.59,180.57,180.57,344
2013-02-07,180.45,180.45,180.45,180.82,180.82,18
2013-02-14,181.24,181.24,181.24,181.16,181.16,14
2013-02-19,181.24,181.24,181.24,181.2,181.2,37
2013-03-06,181.8,181.8,181.8,181.83,181.83,50
2013-03-20,182.12,182.12,182.12,182.11,182.11,55
2013-03-25,182.3,182.3,182.3,182.23,182.23,1
2013-03-28,182.02,182.02,182.02,181.98,181.98,400
2013-04-02,181.9,181.9,181.9,182.17,182.17,2000
2013-04-29,186.47,186.47,184.22,184.3,184.3,123
2013-05-02,184.82,184.82,184.82,184.84,184.84,3
2013-05-03,185.16,185.16,185.16,184.84,184.84,5
2013-05-06,184.78,184.78,184.69,184.62,184.62,145
2013-05-09,184.78,184.78,184.78,184.49,184.49,20
2013-05-14,184.11,184.11,184.11,183.96,183.96,10
2013-06-06,183.33,183.33,183.33,182.67,182.67,81
2013-06-10,182.45,182.45,182.45,182.41,182.41,20
2013-07-11,182.66,182.66,182.66,182.56,182.56,144
2013-07-16,182.86,182.86,182.86,182.8,182.8,110
2013-10-30,185.18,185.2,185.18,185.23,185.23,3221
2013-11-29,186.42,186.42,186.42,186.36,186.36,50
2013-12-16,185.8,185.8,185.8,185.84,185.84,289
2013-12-30,185.33,185.33,185.33,185.57,185.57,900
2014-01-06,186.7,186.7,186.41,186.26,186.26,60
2014-01-07,186.51,186.51,186.51,186.49,186.49,30
2014-01-13,186.73,186.73,186.73,186.73,186.73,200
2014-02-03,188.18,188.18,188.18,188.11,188.11,55
2014-02-05,188.4,188.4,188.4,188.2,188.2,50
2014-02-20,188.23,188.23,188.23,188.16,188.16,21
2014-03-07,188.74,188.74,188.74,188.87,188.87,434
2014-03-24,188.98,188.98,188.98,189.07,189.07,25
2014-05-26,191.45,191.45,191.45,191.44,191.44,50
2014-06-18,192.37,192.37,192.37,192.21,192.21,1727
2014-06-20,192.37,192.37,192.37,192.33,192.33,52
2014-07-01,193.03,193.03,193.03,192.93,192.93,207
2014-07-03,192.74,192.83,192.74,192.89,192.89,10
