Date,Open,High,Low,Close,Adj Close,Volume
2007-11-07,157.65,157.8,157.65,157.65,157.65,0
2007-11-08,157.84,157.99,157.84,157.84,157.84,0
2007-11-09,158.18,158.33,158.18,158.18,158.18,0
2007-11-12,158.07,158.22,158.07,158.07,158.07,0
2007-11-13,158.15,158.15,158.15,158.15,158.15,19839
2007-11-14,157.6,157.75,157.6,157.6,157.6,0
2007-11-15,157.73,157.73,157.73,157.73,157.73,3556
2007-11-16,157.79,157.94,157.79,157.79,157.79,0
2007-11-19,158.43,158.58,158.43,158.43,158.43,0
2007-11-20,157.95,158.1,157.95,157.95,157.95,0
2007-11-21,157.73,157.73,157.73,157.73,157.73,0
2007-11-22,157.73,157.73,157.73,157.73,157.73,0
2007-11-23,157.73,157.73,157.73,157.73,157.73,0
2007-11-26,157.73,157.73,157.73,157.73,157.73,0
2007-11-27,157.73,157.73,157.73,157.73,157.73,0
2007-11-28,157.73,157.73,157.73,157.73,157.73,0
2007-11-29,157.73,157.73,157.73,157.73,157.73,0
2007-11-30,157.73,157.73,157.73,157.73,157.73,0
2007-12-03,157.73,157.73,157.73,157.73,157.73,0
2007-12-04,158.09,158.09,158.09,158.09,158.09,73
2007-12-05,158.09,158.09,158.09,158.09,158.09,0
2007-12-06,157.38,157.53,157.38,157.38,157.38,0
2007-12-07,155.68,155.83,155.68,155.68,155.68,0
2007-12-10,154.77,154.92,154.77,154.77,154.77,0
2007-12-11,155.43,155.58,155.43,155.43,155.43,0
2007-12-12,154.38,154.53,154.38,154.38,154.38,0
2007-12-13,155.3,155.45,155.3,155.3,155.3,0
2007-12-14,155.3,155.3,155.3,155.3,155.3,1
2007-12-17,155.26,155.41,155.26,155.26,155.26,0
2007-12-18,155.75,155.9,155.75,155.75,155.75,0
2007-12-19,155.97,156.12,155.97,155.97,155.97,0
2007-12-20,156.72,156.87,156.72,156.72,156.72,0
2007-12-21,155.26,155.41,155.26,155.26,155.26,0
2007-12-27,154.74,154.89,154.74,154.74,154.74,0
2007-12-28,155.61,155.78,155.61,155.61,155.61,0
2008-01-02,157.3,157.45,157.3,157.3,157.3,0
2008-01-03,157.51,157.66,157.51,157.51,157.51,0
2008-01-04,158.05,158.2,158.05,158.05,158.05,0
2008-01-07,157.83,157.98,157.83,157.83,157.83,0
2008-01-08,157.1,157.25,157.1,157.1,157.1,0
2008-01-09,158.21,158.36,158.21,158.21,158.21,0
2008-01-10,157.7,157.85,157.7,157.7,157.7,0
2008-01-11,157.68,157.83,157.68,157.68,157.68,0
2008-01-14,158.29,158.44,158.29,158.29,158.29,0
2008-01-15,158.78,158.93,158.78,158.78,158.78,0
2008-01-16,159.34,159.49,159.34,159.34,159.34,0
2008-01-17,159.27,159.42,159.27,159.27,159.27,0
2008-01-18,159.53,159.68,159.53,159.53,159.53,0
2008-01-21,160.24,160.39,160.24,160.24,160.24,0
2008-01-22,158.24,158.39,158.24,158.24,158.24,0
2008-01-23,159.39,159.54,159.39,159.39,159.39,0
2008-01-24,157.75,157.9,157.75,157.75,157.75,0
2008-01-25,158.34,158.49,158.34,158.34,158.34,0
2008-01-28,158.91,159.06,158.91,158.91,158.91,0
2008-01-29,158.12,158.27,158.12,158.12,158.12,0
2008-01-30,157.81,157.96,157.81,157.81,157.81,0
2008-01-31,159.77,159.92,159.77,159.77,159.77,0
2008-02-01,160.24,160.39,160.24,160.24,160.24,0
2008-02-04,159.97,160.12,159.97,159.97,159.97,0
2008-02-05,161.7,161.86,161.7,161.7,161.7,0
2008-02-06,160.51,160.66,160.51,160.51,160.51,0
2008-02-07,160.58,160.73,160.58,160.58,160.58,0
