Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,102.25,102.25,102.25,102.25,102.25,0
2010-01-19,102.1,102.1,102.1,102.1,102.1,0
2010-01-20,102.15,102.15,102.15,102.15,102.15,0
2010-01-21,102.22,102.22,102.22,102.22,102.22,0
2010-01-22,102.18,102.18,102.18,102.18,102.18,0
2010-01-25,102.4,102.4,102.4,102.4,102.4,0
2010-01-26,102.51,102.51,102.51,102.51,102.51,0
2010-01-27,102.29,102.29,102.29,102.29,102.29,0
2010-01-28,102.04,102.04,102.04,102.04,102.04,0
2010-01-29,102.09,102.21,102.09,102.09,102.09,0
2010-02-01,102.39,102.39,102.39,102.39,102.39,0
2010-02-02,102.48,102.48,102.43,102.43,102.43,488
2010-02-03,102.35,102.35,102.33,102.33,102.33,94
2010-02-04,102.25,102.25,102.25,102.25,102.25,10
2010-02-05,102.25,102.25,102.25,102.25,102.25,10
2010-02-08,102.25,102.25,102.25,102.25,102.25,10
2010-02-09,102.47,102.47,102.47,102.47,102.47,45
2010-02-10,102.47,102.47,102.47,102.47,102.47,45
2010-02-11,102.86,102.86,102.86,102.86,102.86,100
2010-02-12,102.8,102.8,102.8,102.8,102.8,6
2010-02-15,102.78,102.78,102.78,102.78,102.78,50
2010-02-16,102.78,102.78,102.78,102.78,102.78,50
2010-02-17,102.8,102.8,102.8,102.8,102.8,5
2010-02-18,102.8,102.8,102.8,102.8,102.8,5
2010-02-22,104.0,104.0,104.0,104.0,104.0,70
2010-02-23,102.57,102.57,102.57,102.57,102.57,100
2010-02-24,103.27,103.27,103.27,103.27,103.27,0
2010-02-25,103.13,103.13,103.13,103.13,103.13,50
2010-02-26,103.34,103.34,103.34,103.34,103.34,0
2010-03-01,103.45,103.45,103.45,103.45,103.45,0
2010-03-02,103.46,103.46,103.46,103.46,103.46,0
2010-03-03,103.51,103.51,103.51,103.51,103.51,29
2010-03-04,103.37,103.37,103.37,103.37,103.37,49
2010-03-05,103.41,103.41,103.41,103.41,103.41,0
2010-03-08,103.43,103.43,103.43,103.43,103.43,0
2010-03-09,103.6,103.6,103.6,103.6,103.6,49
2010-03-10,103.6,103.6,103.6,103.6,103.6,49
2010-03-11,103.57,103.57,103.57,103.57,103.57,49
2010-03-12,103.44,103.44,103.44,103.44,103.44,0
2010-03-15,104.0,104.0,103.59,103.59,103.59,239
2010-03-16,103.5,103.5,103.45,103.45,103.45,49
2010-03-17,103.77,103.77,103.77,103.77,103.77,49
2010-03-18,103.53,103.65,103.53,103.53,103.53,0
2010-03-19,103.53,103.65,103.53,103.53,103.53,0
2010-03-22,103.67,103.79,103.67,103.67,103.67,0
2010-03-23,103.76,103.92,103.76,103.9,103.9,5628
2010-03-24,103.8,103.92,103.8,103.8,103.8,0
2010-03-25,103.63,103.75,103.63,103.63,103.63,0
2010-03-26,103.78,103.78,103.78,103.78,103.78,48
2010-03-29,103.84,103.84,103.84,103.84,103.84,0
2010-03-30,103.9,103.9,103.89,103.89,103.89,73
2010-03-31,104.04,104.04,104.04,104.04,104.04,48
2010-04-01,104.16,104.16,104.16,104.16,104.16,0
2010-04-06,103.7,103.7,103.7,103.7,103.7,0
2010-04-07,103.75,103.75,103.75,103.75,103.75,0
2010-04-08,103.83,103.83,103.83,103.83,103.83,0
2010-04-09,103.75,103.75,103.75,103.75,103.75,2
2010-04-12,103.72,103.72,103.72,103.72,103.72,0
2010-04-13,103.82,103.82,103.82,103.82,103.82,0
2010-04-14,103.77,103.77,103.77,103.77,103.77,0
2010-04-15,103.84,103.84,103.84,103.84,103.84,0
2010-04-16,103.96,103.96,103.96,103.96,103.96,0
2010-04-19,103.97,103.97,103.97,103.97,103.97,55
2010-04-20,103.8,103.8,103.8,103.8,103.8,0
2010-04-21,103.74,103.74,103.74,103.74,103.74,0
2010-04-22,103.59,103.59,103.59,103.59,103.59,0
2010-04-23,103.33,103.33,103.33,103.33,103.33,55
2010-04-26,103.34,103.34,103.16,103.16,103.16,36702
2010-04-27,102.88,102.9,102.88,102.9,102.9,35002
2010-04-28,102.67,102.67,102.67,102.67,102.67,0
2010-04-29,103.2,103.2,103.2,103.2,103.2,0
2010-04-30,103.14,103.25,103.14,103.2,103.2,3400
2010-05-03,103.4,103.4,103.4,103.4,103.4,10
2010-05-04,103.26,103.29,103.26,103.28,103.28,28502
2010-05-05,103.22,103.22,103.22,103.22,103.22,0
2010-05-06,102.75,102.75,102.75,102.75,102.75,0
2010-05-07,102.64,102.64,102.64,102.64,102.64,0
2010-05-10,103.77,103.77,103.77,103.77,103.77,5000
2010-05-11,103.02,103.02,103.02,103.02,103.02,0
2010-05-12,103.15,103.15,103.15,103.15,103.15,0
2010-05-13,103.36,103.36,103.36,103.36,103.36,0
2010-05-14,103.63,103.63,103.63,103.63,103.63,50
