Date,Open,High,Low,Close,Adj Close,Volume
2011-01-31,115.89,115.89,115.89,115.89,115.89,43
2011-02-02,117.39,117.39,117.39,117.39,117.39,70
2011-02-03,117.17,117.17,116.96,117.0,117.0,482
2011-02-04,117.15,117.15,117.14,117.14,117.14,69
2011-02-07,116.87,116.87,116.62,116.62,116.62,362
2011-02-08,116.5,116.5,116.43,116.43,116.43,46
2011-02-09,115.98,116.27,115.98,116.09,116.09,112
2011-02-10,116.05,116.05,116.05,116.05,116.05,9
2011-02-11,115.83,115.91,115.83,115.91,115.91,129
2011-02-14,115.74,115.74,115.74,115.74,115.74,8
2011-02-15,115.52,115.52,115.52,115.52,115.52,43
2011-02-18,116.1,116.1,116.1,116.1,116.1,17
2011-02-24,115.79,115.79,115.79,115.79,115.79,115
2011-03-01,115.92,115.92,115.92,115.92,115.92,26
2011-03-07,115.05,115.41,115.05,115.26,115.26,29
2011-03-08,115.06,115.06,114.9,114.9,114.9,216
2011-03-23,116.24,116.24,116.24,116.24,116.24,26
2011-03-31,115.76,115.76,115.76,115.76,115.76,8
2011-04-01,115.5,115.5,115.24,115.38,115.38,52
2011-04-07,116.04,116.04,116.04,116.04,116.04,18
2011-04-08,115.9,115.9,115.9,115.9,115.9,43
2011-04-14,116.12,116.12,116.12,116.12,116.12,43
2011-04-18,115.01,115.01,115.01,115.01,115.01,17
2011-05-16,116.54,116.54,116.54,116.44,116.44,17
2011-05-23,115.49,115.49,115.49,115.5,115.5,100
2011-06-03,116.58,116.58,116.58,116.95,116.95,43
2011-06-30,115.2,115.2,115.2,115.39,115.39,100
2011-09-02,115.37,115.37,115.32,114.91,114.91,70
2011-10-10,114.51,114.51,114.51,114.76,114.76,426
2011-10-18,112.55,112.55,112.44,112.69,112.69,128
2011-11-14,109.59,109.59,108.07,108.24,108.24,275
2011-11-15,107.63,107.63,106.66,106.67,106.67,475
2011-11-16,107.59,107.59,107.59,106.93,106.93,43
2011-11-22,107.6,107.6,106.53,106.77,106.77,77
2011-11-23,106.23,106.23,106.23,105.85,105.85,17
2011-11-25,104.39,104.46,104.39,104.76,104.76,87
2011-11-28,104.74,104.74,104.74,105.59,105.59,43
2011-12-13,109.66,109.66,109.66,110.15,110.15,26
2011-12-28,113.38,113.38,113.38,112.97,112.97,26
2012-01-12,114.07,114.07,114.07,114.18,114.18,26
2012-02-15,120.02,120.02,120.02,119.21,119.21,3
2012-03-15,123.31,123.31,123.31,123.04,123.04,3
2012-03-29,121.6,121.6,121.18,120.9,120.9,26
2012-04-02,122.1,122.1,122.1,121.75,121.75,36
2012-04-11,118.52,118.52,118.52,119.27,119.27,36
2012-04-16,118.99,118.99,118.99,119.03,119.03,3
2012-04-19,119.04,119.04,119.04,119.34,119.34,43
2012-04-30,119.95,119.95,119.95,120.22,120.22,2390
2012-05-04,121.0,121.0,121.0,120.73,120.73,2130
2012-05-15,119.23,119.23,119.23,118.31,118.31,3
2012-05-16,117.46,117.46,117.46,118.15,118.15,2150
2012-05-17,118.51,118.52,118.51,118.36,118.36,185
2012-05-22,119.05,119.05,119.05,119.47,119.47,200
2012-06-13,117.08,117.08,117.08,116.23,116.23,600
2012-06-15,117.19,117.36,117.19,117.04,117.04,23
2012-07-16,119.47,119.47,119.47,117.04,117.04,3
2012-08-01,119.94,119.94,119.94,118.87,118.87,8045
2012-08-16,120.88,120.88,120.88,120.95,120.95,3
2012-08-30,121.83,121.83,121.83,121.59,121.59,125
2012-09-05,122.98,122.98,122.98,123.39,123.39,50
2012-09-10,125.22,125.22,125.22,125.09,125.09,100
2012-09-13,126.2,126.2,126.2,126.07,126.07,71
2012-09-17,125.74,125.74,125.74,125.25,125.25,3
2012-09-20,126.42,126.42,126.42,126.22,126.22,15
2012-09-26,125.58,125.58,125.4,125.14,125.14,93
2012-09-27,125.68,125.89,125.68,125.89,125.89,40
2012-09-28,125.68,125.68,125.49,125.89,125.89,71
2012-10-04,126.42,126.42,126.42,126.23,126.23,29
2012-10-08,127.22,127.22,127.2,126.85,126.85,84
2012-10-09,127.04,127.04,126.85,126.62,126.62,143
2012-10-10,126.9,126.9,126.9,126.68,126.68,35
2012-10-12,127.16,127.16,127.16,126.98,126.98,5000
2012-10-15,127.76,127.76,127.55,127.25,127.25,13
2012-10-17,128.58,128.58,128.58,128.51,128.51,48
2012-10-24,127.9,127.9,127.9,128.07,128.07,18
2012-10-31,128.44,128.44,128.04,127.87,127.87,50
2012-11-02,128.34,128.34,128.34,128.06,128.06,12
2012-11-05,127.8,127.8,127.8,127.59,127.59,40
2012-11-08,127.95,127.95,127.83,127.53,127.53,45
2012-11-13,127.79,127.79,127.79,127.87,127.87,40
2012-11-15,128.0,128.0,128.0,127.94,127.94,3
2012-11-16,127.81,127.81,127.81,127.94,127.94,7
2012-11-22,128.93,128.99,128.93,128.8,128.8,99
2012-11-26,129.28,129.3,129.25,129.05,129.05,7121
2012-11-27,129.63,129.63,129.63,129.47,129.47,40
2012-11-28,129.58,129.58,129.58,130.35,130.35,59
2012-11-29,130.6,130.6,130.6,130.39,130.39,225
2012-11-30,130.84,130.86,130.79,130.39,130.39,61
2012-12-03,131.36,131.36,131.36,131.0,131.0,20
2012-12-05,131.17,131.17,131.17,130.83,130.83,11
2012-12-07,130.0,130.0,130.0,130.29,130.29,38
2012-12-10,127.79,129.24,127.79,129.0,129.0,298
2012-12-11,129.38,129.76,129.38,129.57,129.57,66
2012-12-12,130.34,130.34,130.34,130.26,130.26,52
2012-12-14,131.05,131.05,131.05,130.37,130.37,10
2012-12-17,130.93,130.93,130.93,130.74,130.74,103
2012-12-21,131.89,131.89,131.89,131.88,131.88,23
2012-12-27,131.88,131.88,131.74,131.42,131.42,30
2013-01-02,132.42,132.52,132.42,132.65,132.65,51
2013-01-04,132.96,132.96,132.96,132.59,132.59,56
2013-01-07,132.65,132.65,132.54,132.24,132.24,145
2013-01-08,132.62,132.81,132.62,132.6,132.6,76
2013-01-11,133.31,133.31,133.31,133.56,133.56,3
2013-01-14,133.5,133.6,133.5,133.52,133.52,144
2013-01-15,133.8,133.8,133.58,133.28,133.28,90
